id,class,longitude,latitude
1,лен,70.70417,51.68257
2,лен,70.68502,51.668659
3,лен,70.687214,51.68437
4,лен,70.682537,51.632271
5,лен,70.680414,51.624098
6,пшеница,70.667184,51.604918
7,лен,70.676523,51.606627
8,пшеница,70.66576,51.59798
9,пшеница,70.676774,51.581295
10,пшеница,70.666051,51.577792
11,пшеница,70.678808,51.561403
12,пшеница,70.665188,51.561941
13,пшеница,70.670967,51.553138
14,пшеница,70.658363,51.536243
15,пшеница,70.67742,51.523083
16,пшеница,70.679388,51.521949
17,пшеница,70.682116,51.529193
