Real,RF_Pred,XGB_Pred
versicolor,versicolor,versicolor
setosa,setosa,setosa
virginica,virginica,virginica
versicolor,versicolor,versicolor
versicolor,versicolor,versicolor
setosa,setosa,setosa
versicolor,versicolor,versicolor
virginica,virginica,virginica
versicolor,versicolor,versicolor
versicolor,versicolor,versicolor
virginica,virginica,virginica
setosa,setosa,setosa
setosa,setosa,setosa
setosa,setosa,setosa
setosa,setosa,setosa
versicolor,versicolor,versicolor
virginica,virginica,virginica
versicolor,versicolor,versicolor
versicolor,versicolor,versicolor
virginica,virginica,virginica
setosa,setosa,setosa
virginica,virginica,virginica
setosa,setosa,setosa
virginica,virginica,virginica
virginica,virginica,virginica
virginica,virginica,virginica
virginica,virginica,virginica
virginica,virginica,virginica
setosa,setosa,setosa
setosa,setosa,setosa
