id,True_Class,Predicted_Class,Is_Correct
0,versicolor,versicolor,True
1,setosa,setosa,True
2,virginica,virginica,True
3,versicolor,versicolor,True
4,versicolor,versicolor,True
5,setosa,setosa,True
6,versicolor,versicolor,True
7,virginica,virginica,True
8,versicolor,versicolor,True
9,versicolor,versicolor,True
10,virginica,virginica,True
11,setosa,setosa,True
12,setosa,setosa,True
13,setosa,setosa,True
14,setosa,setosa,True
15,versicolor,versicolor,True
16,virginica,virginica,True
17,versicolor,versicolor,True
18,versicolor,versicolor,True
19,virginica,virginica,True
20,setosa,setosa,True
21,virginica,virginica,True
22,setosa,setosa,True
23,virginica,virginica,True
24,virginica,virginica,True
25,virginica,virginica,True
26,virginica,virginica,True
27,virginica,virginica,True
28,setosa,setosa,True
29,setosa,setosa,True
