id,True_Class,Predicted_Class,Is_Correct
0,Iris-versicolor,Iris-versicolor,True
1,Iris-setosa,Iris-setosa,True
2,Iris-virginica,Iris-virginica,True
3,Iris-versicolor,Iris-versicolor,True
4,Iris-versicolor,Iris-versicolor,True
5,Iris-setosa,Iris-setosa,True
6,Iris-versicolor,Iris-versicolor,True
7,Iris-virginica,Iris-virginica,True
8,Iris-versicolor,Iris-versicolor,True
9,Iris-versicolor,Iris-versicolor,True
10,Iris-virginica,Iris-virginica,True
11,Iris-setosa,Iris-setosa,True
12,Iris-setosa,Iris-setosa,True
13,Iris-setosa,Iris-setosa,True
14,Iris-setosa,Iris-setosa,True
15,Iris-versicolor,Iris-versicolor,True
16,Iris-virginica,Iris-virginica,True
17,Iris-versicolor,Iris-versicolor,True
18,Iris-versicolor,Iris-versicolor,True
19,Iris-virginica,Iris-virginica,True
20,Iris-setosa,Iris-setosa,True
21,Iris-virginica,Iris-virginica,True
22,Iris-setosa,Iris-setosa,True
23,Iris-virginica,Iris-virginica,True
24,Iris-virginica,Iris-virginica,True
25,Iris-virginica,Iris-virginica,True
26,Iris-virginica,Iris-virginica,True
27,Iris-virginica,Iris-virginica,True
28,Iris-setosa,Iris-setosa,True
29,Iris-setosa,Iris-setosa,True
