sequence_id,step,weather,activity
1,1,Sunny,walk
1,2,Sunny,picnic
1,3,Cloudy,shop
1,4,Rainy,clean
1,5,Rainy,study
1,6,Cloudy,shop
1,7,Sunny,walk
1,8,Sunny,picnic
2,1,Rainy,clean
2,2,Rainy,study
2,3,Cloudy,shop
2,4,Sunny,walk
2,5,Sunny,picnic
2,6,Cloudy,study
2,7,Rainy,clean
2,8,Rainy,shop
3,1,Cloudy,shop
3,2,Cloudy,study
3,3,Sunny,walk
3,4,Sunny,picnic
3,5,Cloudy,shop
3,6,Rainy,clean
3,7,Rainy,study
3,8,Cloudy,walk
4,1,Sunny,walk
4,2,Cloudy,shop
4,3,Cloudy,study
4,4,Rainy,clean
4,5,Cloudy,shop
4,6,Sunny,walk
4,7,Sunny,picnic
4,8,Cloudy,study
5,1,Rainy,clean
5,2,Cloudy,shop
5,3,Sunny,walk
5,4,Sunny,picnic
5,5,Cloudy,study
5,6,Rainy,clean
5,7,Cloudy,shop
5,8,Sunny,walk
