sample_id,command,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
1,forward,-118.0,34.0,-12.0,18.0,-4.0,11.0,-6.0,8.0,-3.0,6.0,-2.0,4.0,-1.0
2,forward,-121.0,36.0,-10.0,17.0,-5.0,10.0,-5.0,7.0,-4.0,5.0,-3.0,4.0,-2.0
3,forward,-116.0,33.0,-11.0,16.0,-3.0,12.0,-6.0,8.0,-3.0,7.0,-2.0,5.0,-1.0
4,forward,-119.0,35.0,-13.0,18.0,-4.0,11.0,-7.0,9.0,-4.0,6.0,-2.0,4.0,-1.0
5,forward,-117.0,34.0,-12.0,17.0,-4.0,10.0,-5.0,8.0,-3.0,6.0,-2.0,5.0,-1.0
6,forward,-122.0,37.0,-9.0,19.0,-5.0,12.0,-6.0,7.0,-4.0,5.0,-3.0,4.0,-2.0
7,forward,-115.0,32.0,-11.0,16.0,-3.0,11.0,-5.0,8.0,-3.0,6.0,-2.0,4.0,-1.0
8,forward,-120.0,35.0,-10.0,18.0,-4.0,10.0,-6.0,9.0,-4.0,7.0,-2.0,5.0,-1.0
9,back,-92.0,16.0,24.0,-9.0,13.0,-7.0,10.0,-5.0,8.0,-4.0,6.0,-3.0,5.0
10,back,-94.0,17.0,22.0,-8.0,12.0,-6.0,9.0,-4.0,7.0,-3.0,6.0,-2.0,4.0
11,back,-91.0,15.0,23.0,-10.0,14.0,-7.0,11.0,-5.0,8.0,-4.0,7.0,-3.0,5.0
12,back,-95.0,18.0,25.0,-9.0,13.0,-8.0,10.0,-4.0,9.0,-3.0,6.0,-2.0,4.0
13,back,-93.0,16.0,24.0,-8.0,12.0,-7.0,9.0,-5.0,8.0,-4.0,6.0,-3.0,5.0
14,back,-90.0,15.0,22.0,-10.0,14.0,-6.0,10.0,-4.0,7.0,-3.0,5.0,-2.0,4.0
15,back,-96.0,18.0,25.0,-9.0,13.0,-8.0,11.0,-5.0,9.0,-4.0,7.0,-3.0,5.0
16,back,-92.0,17.0,23.0,-8.0,12.0,-7.0,10.0,-4.0,8.0,-3.0,6.0,-2.0,4.0
17,stop,-70.0,-12.0,7.0,26.0,-15.0,17.0,-10.0,12.0,-8.0,10.0,-6.0,8.0,-5.0
18,stop,-72.0,-11.0,8.0,25.0,-14.0,18.0,-9.0,11.0,-7.0,9.0,-6.0,7.0,-4.0
19,stop,-69.0,-13.0,6.0,27.0,-15.0,16.0,-10.0,12.0,-8.0,10.0,-5.0,8.0,-5.0
20,stop,-71.0,-12.0,7.0,26.0,-14.0,17.0,-9.0,11.0,-7.0,9.0,-6.0,7.0,-4.0
21,stop,-73.0,-10.0,8.0,24.0,-13.0,18.0,-8.0,10.0,-7.0,8.0,-5.0,7.0,-4.0
22,stop,-68.0,-14.0,6.0,27.0,-15.0,17.0,-10.0,12.0,-8.0,10.0,-6.0,8.0,-5.0
23,stop,-74.0,-11.0,9.0,25.0,-14.0,18.0,-9.0,11.0,-7.0,9.0,-5.0,7.0,-4.0
24,stop,-70.0,-12.0,7.0,26.0,-15.0,16.0,-10.0,12.0,-8.0,10.0,-6.0,8.0,-5.0
25,left,-108.0,26.0,-18.0,9.0,5.0,-11.0,7.0,-9.0,6.0,-7.0,4.0,-5.0,3.0
26,left,-110.0,27.0,-17.0,10.0,4.0,-10.0,6.0,-8.0,5.0,-6.0,4.0,-5.0,3.0
27,left,-107.0,25.0,-19.0,8.0,5.0,-12.0,7.0,-9.0,6.0,-7.0,5.0,-6.0,3.0
28,left,-109.0,26.0,-18.0,9.0,4.0,-11.0,6.0,-8.0,5.0,-6.0,4.0,-5.0,2.0
29,left,-111.0,28.0,-17.0,10.0,4.0,-10.0,7.0,-8.0,5.0,-6.0,4.0,-5.0,3.0
30,left,-106.0,25.0,-19.0,8.0,5.0,-12.0,6.0,-9.0,6.0,-7.0,5.0,-6.0,3.0
31,left,-108.0,27.0,-18.0,9.0,4.0,-11.0,7.0,-8.0,5.0,-6.0,4.0,-5.0,2.0
32,left,-110.0,26.0,-17.0,10.0,4.0,-10.0,6.0,-8.0,5.0,-6.0,4.0,-5.0,3.0
33,right,-100.0,22.0,15.0,6.0,-10.0,9.0,-8.0,7.0,-6.0,6.0,-4.0,5.0,-3.0
34,right,-102.0,23.0,16.0,7.0,-9.0,10.0,-7.0,6.0,-5.0,5.0,-4.0,4.0,-3.0
35,right,-99.0,21.0,14.0,6.0,-10.0,9.0,-8.0,7.0,-6.0,6.0,-4.0,5.0,-2.0
36,right,-101.0,22.0,15.0,7.0,-9.0,10.0,-7.0,6.0,-5.0,5.0,-4.0,4.0,-3.0
37,right,-103.0,24.0,16.0,8.0,-8.0,11.0,-7.0,6.0,-5.0,5.0,-3.0,4.0,-2.0
38,right,-98.0,21.0,14.0,6.0,-10.0,8.0,-8.0,7.0,-6.0,6.0,-4.0,5.0,-3.0
39,right,-100.0,23.0,15.0,7.0,-9.0,9.0,-7.0,6.0,-5.0,5.0,-4.0,4.0,-2.0
40,right,-102.0,22.0,16.0,7.0,-8.0,10.0,-7.0,6.0,-5.0,5.0,-3.0,4.0,-2.0
