frame,x,y,width,height
0,513,441,176,95
1,511,442,176,95
2,507,443,176,95
3,503,444,176,95
4,501,445,176,95
5,501,446,176,95
6,499,447,176,95
7,493,446,176,95
8,493,449,176,95
9,491,448,176,95
10,485,449,176,95
11,485,450,176,95
12,483,451,176,95
13,477,452,176,95
14,477,453,176,95
15,475,454,176,95
16,471,455,176,95
17,467,454,176,95
18,465,457,176,95
19,463,456,176,95
20,459,457,176,95
21,457,458,176,95
22,455,459,176,95
23,451,460,176,95
24,449,461,176,95
25,447,462,176,95
26,443,463,176,95
27,441,462,176,95
28,441,465,176,95
29,437,464,176,95
30,435,467,176,95
31,431,466,176,95
32,427,467,176,95
33,425,468,176,95
34,425,469,176,95
35,421,470,176,95
36,419,471,176,95
37,415,472,176,95
38,411,473,176,95
39,409,474,176,95
40,409,475,176,95
41,405,476,176,95
42,403,477,176,95
43,399,478,176,95
44,395,479,176,95
45,393,480,176,95
46,393,481,176,95
47,389,482,176,95
48,387,483,176,95
49,383,484,176,95
50,379,485,176,95
51,377,484,176,95
52,377,487,176,95
53,373,486,176,95
54,371,489,176,95
55,367,488,176,95
56,363,491,176,95
57,361,490,176,95
58,359,493,176,95
59,355,492,176,95
60,353,495,176,95
61,351,494,176,95
62,347,497,176,95
63,343,496,176,95
64,341,499,176,95
65,339,498,176,95
66,335,501,176,95
67,333,500,176,95
68,331,503,176,95
69,327,504,176,95
70,325,505,176,95
71,323,506,176,95
72,315,509,176,95
73,313,508,176,95
74,311,511,176,95
75,307,510,176,95
76,305,513,176,95
77,303,512,176,95
78,299,515,176,95
79,295,516,176,95
80,293,517,176,95
81,291,518,176,95
82,287,519,176,95
83,285,520,176,95
84,283,521,176,95
85,279,522,176,95
86,275,523,176,95
87,273,524,176,95
88,271,527,176,95
89,265,526,176,95
90,265,529,176,95
91,261,528,176,95
92,259,531,176,95
93,253,532,176,95
94,253,533,176,95
95,249,534,176,95
96,247,537,176,95
97,243,536,176,95
98,239,539,176,95
99,237,540,176,95
100,235,541,176,95
101,231,542,176,95
102,229,543,176,95
103,227,544,176,95
104,223,545,176,95
105,221,546,176,95
106,219,547,176,95
107,215,548,176,95
108,211,549,176,95
109,207,550,176,95
110,205,551,176,95
111,203,552,176,95
112,199,553,176,95
113,195,554,176,95
114,193,557,176,95
115,191,556,176,95
116,187,559,176,95
117,183,560,176,95
118,181,561,176,95
119,179,562,176,95
120,175,565,176,95
121,171,564,176,95
122,169,567,176,95
123,167,568,176,95
124,163,569,176,95
125,159,570,176,95
126,157,573,176,95
127,155,572,176,95
128,151,575,176,95
129,147,576,176,95
130,145,577,176,95
131,143,578,176,95
132,137,579,176,95
133,137,580,176,95
134,133,581,176,95
135,129,582,176,95
136,127,585,176,95
137,121,584,176,95
138,119,587,176,95
139,115,588,176,95
140,111,589,176,95
141,109,590,176,95
142,107,593,176,95
143,103,592,176,95
144,99,595,176,95
145,97,596,176,95
146,95,599,176,95
147,89,598,176,95
148,89,601,176,95
149,85,602,176,95
150,81,603,176,95
151,79,604,176,95
152,73,607,176,95
153,71,606,176,95
154,67,609,176,95
155,63,610,176,95
156,59,611,176,95
157,57,612,176,95
158,55,615,176,95
159,49,614,176,95
160,47,617,176,95
161,43,618,176,95
162,39,619,176,95
163,35,620,176,95
164,33,623,176,95
165,31,624,176,95
166,25,625,176,95
167,23,626,176,94
168,19,629,176,91
169,15,630,176,90
170,11,631,176,89
171,9,632,176,88
172,7,633,176,87
173,3,634,176,86
174,0,637,175,83
175,0,638,171,82
176,0,639,167,81
177,0,640,165,80
178,0,643,163,77
179,0,644,157,76
180,0,645,155,75
181,0,646,149,74
182,0,649,147,71
183,0,650,143,70
184,0,653,137,67
185,0,654,135,66
186,0,657,129,63
187,0,658,129,62
188,0,661,125,59
189,0,662,121,58
190,0,663,119,57
191,0,664,115,56
192,0,667,111,53
193,0,668,111,52
