episode,reward,steps_survived
1,2.00,13
2,3.00,14
3,-1.00,10
4,9.00,20
5,23.00,34
6,-2.00,9
7,7.00,18
8,-3.00,8
9,2.00,13
10,12.00,23
11,1.00,12
12,9.00,20
13,-6.00,5
14,4.00,15
15,21.00,32
16,5.00,16
17,-4.00,7
18,16.00,27
19,0.00,11
20,-6.00,5
21,11.00,22
22,-1.00,10
23,2.00,13
24,1.00,12
25,10.00,21
26,-3.00,8
27,13.00,24
28,3.00,14
29,3.00,14
30,11.00,22
31,3.00,14
32,-1.00,10
33,5.00,16
34,4.00,15
35,13.00,24
36,17.00,28
37,-5.00,6
38,0.00,11
39,-6.00,5
40,14.00,25
41,-6.00,5
42,1.00,12
43,9.00,20
44,-6.00,5
45,-5.00,6
46,-5.00,6
47,10.00,21
48,-1.00,10
49,-3.00,8
50,3.00,14
51,-4.00,7
52,-3.00,8
53,-5.00,6
54,23.00,34
55,-4.00,7
56,16.00,27
57,16.00,27
58,-1.00,10
59,10.00,21
60,-3.00,8
61,-5.00,6
62,-5.00,6
63,8.00,19
64,9.00,20
65,6.00,17
66,5.00,16
67,1.00,12
68,-1.00,10
69,-5.00,6
70,-4.00,7
71,-4.00,7
72,-2.00,9
73,41.00,52
74,-3.00,8
75,3.00,14
76,10.00,21
77,28.00,39
78,1.00,12
79,-5.00,6
80,0.00,11
81,3.00,14
82,24.00,35
83,4.00,15
84,-4.00,7
85,5.00,16
86,11.00,22
87,7.00,18
88,-3.00,8
89,2.00,13
90,29.00,40
91,1.00,12
92,7.00,18
93,4.00,15
94,-3.00,8
95,13.00,24
96,1.00,12
97,20.00,31
98,-2.00,9
99,-6.00,5
100,9.00,20
101,-6.00,5
102,2.00,13
103,-1.00,10
104,76.00,87
105,11.00,22
106,2.00,13
107,13.00,24
108,31.00,42
109,-2.00,9
110,1.00,12
111,-2.00,9
112,7.00,18
113,64.00,75
114,40.00,51
115,27.00,38
116,10.00,21
117,15.00,26
118,2.00,13
119,43.00,54
120,52.00,63
121,26.00,37
122,-6.00,5
123,16.00,27
124,3.00,14
125,-3.00,8
126,37.00,48
127,-2.00,9
128,20.00,31
129,15.00,26
130,11.00,22
131,11.00,22
132,16.00,27
133,-1.00,10
134,6.00,17
135,18.00,29
136,34.00,45
137,9.00,20
138,12.00,23
139,34.00,45
140,6.00,17
141,52.00,63
142,35.00,46
143,66.00,77
144,32.00,43
145,20.00,31
146,25.00,36
147,28.00,39
148,23.00,34
149,-5.00,6
150,10.00,21
151,-2.00,9
152,11.00,22
153,9.00,20
154,98.00,109
155,17.00,28
156,41.00,52
157,7.00,18
158,-5.00,6
159,27.00,38
160,100.00,111
161,14.00,25
162,38.00,49
163,26.00,37
164,71.00,82
165,6.00,17
166,21.00,32
167,21.00,32
168,1.00,12
169,7.00,18
170,16.00,27
171,4.00,15
172,-4.00,7
173,7.00,18
174,1.00,12
175,53.00,64
176,15.00,26
177,24.00,35
178,5.00,16
179,6.00,17
180,35.00,46
181,0.00,11
182,96.00,107
183,3.00,14
184,23.00,34
185,142.00,153
186,185.00,196
187,-5.00,6
188,23.00,34
189,24.00,35
190,146.00,157
191,1.00,12
192,85.00,96
193,-2.00,9
194,-4.00,7
195,30.00,41
196,9.00,20
197,9.00,20
198,66.00,77
199,81.00,92
200,84.00,95
201,4.00,15
202,29.00,40
203,78.00,89
204,0.00,11
205,127.00,138
206,21.00,32
207,24.00,35
208,19.00,30
209,75.00,86
210,41.00,52
211,6.00,17
212,167.00,178
213,18.00,29
214,49.00,60
215,25.00,36
216,15.00,26
217,-5.00,6
218,11.00,22
219,12.00,23
220,29.00,40
221,31.00,42
222,78.00,89
223,27.00,38
224,6.00,17
225,16.00,27
226,-2.00,9
227,82.00,93
228,40.00,51
229,69.00,80
230,200.00,200
231,-3.00,8
232,-1.00,10
233,-5.00,6
234,120.00,131
235,99.00,110
236,115.00,126
237,10.00,21
238,0.00,11
239,-2.00,9
240,7.00,18
241,65.00,76
242,57.00,68
243,29.00,40
244,-3.00,8
245,88.00,99
246,64.00,75
247,122.00,133
248,45.00,56
249,39.00,50
250,61.00,72
251,0.00,11
252,3.00,14
253,106.00,117
254,200.00,200
255,10.00,21
256,9.00,20
257,11.00,22
258,104.00,115
259,60.00,71
260,89.00,100
261,83.00,94
262,124.00,135
263,0.00,11
264,67.00,78
265,5.00,16
266,68.00,79
267,29.00,40
268,115.00,126
269,61.00,72
270,59.00,70
271,67.00,78
272,0.00,11
273,2.00,13
274,85.00,96
275,58.00,69
276,16.00,27
277,49.00,60
278,29.00,40
279,200.00,200
280,66.00,77
281,120.00,131
282,10.00,21
283,30.00,41
284,9.00,20
285,200.00,200
286,127.00,138
287,23.00,34
288,29.00,40
289,200.00,200
290,200.00,200
291,96.00,107
292,139.00,150
293,23.00,34
294,157.00,168
295,34.00,45
296,200.00,200
297,51.00,62
298,28.00,39
299,71.00,82
300,22.00,33
301,200.00,200
302,153.00,164
303,148.00,159
304,95.00,106
305,200.00,200
306,41.00,52
307,200.00,200
308,73.00,84
309,123.00,134
310,66.00,77
311,165.00,176
312,24.00,35
313,74.00,85
314,122.00,133
315,29.00,40
316,200.00,200
317,-1.00,10
318,39.00,50
319,152.00,163
320,34.00,45
321,164.00,175
322,43.00,54
323,47.00,58
324,77.00,88
325,200.00,200
326,200.00,200
327,-3.00,8
328,83.00,94
329,74.00,85
330,200.00,200
331,95.00,106
332,23.00,34
333,123.00,134
334,0.00,11
335,200.00,200
336,81.00,92
337,51.00,62
338,12.00,23
339,200.00,200
340,20.00,31
341,200.00,200
342,200.00,200
343,82.00,93
344,73.00,84
345,17.00,28
346,200.00,200
347,81.00,92
348,200.00,200
349,25.00,36
350,93.00,104
351,4.00,15
352,51.00,62
353,200.00,200
354,149.00,160
355,50.00,61
356,39.00,50
357,200.00,200
358,38.00,49
359,104.00,115
360,77.00,88
361,156.00,167
362,51.00,62
363,200.00,200
364,31.00,42
365,81.00,92
366,6.00,17
367,48.00,59
368,18.00,29
369,133.00,144
370,133.00,144
371,46.00,57
372,200.00,200
373,34.00,45
374,69.00,80
375,130.00,141
376,83.00,94
377,78.00,89
378,200.00,200
379,112.00,123
380,152.00,163
381,142.00,153
382,114.00,125
383,200.00,200
384,142.00,153
385,200.00,200
386,26.00,37
387,200.00,200
388,200.00,200
389,200.00,200
390,147.00,158
391,200.00,200
392,16.00,27
393,200.00,200
394,200.00,200
395,19.00,30
396,200.00,200
397,62.00,73
398,200.00,200
399,200.00,200
400,200.00,200
401,200.00,200
402,128.00,139
403,12.00,23
404,200.00,200
405,200.00,200
406,145.00,156
407,130.00,141
408,35.00,46
409,161.00,172
410,37.00,48
411,200.00,200
412,200.00,200
413,110.00,121
414,155.00,166
415,4.00,15
416,78.00,89
417,25.00,36
418,177.00,188
419,76.00,87
420,46.00,57
421,8.00,19
422,76.00,87
423,68.00,79
424,200.00,200
425,68.00,79
426,9.00,20
427,159.00,170
428,36.00,47
429,0.00,11
430,200.00,200
431,81.00,92
432,200.00,200
433,200.00,200
434,110.00,121
435,200.00,200
436,46.00,57
437,45.00,56
438,137.00,148
439,21.00,32
440,50.00,61
441,102.00,113
442,-3.00,8
443,200.00,200
444,33.00,44
445,85.00,96
446,200.00,200
447,83.00,94
448,200.00,200
449,200.00,200
450,158.00,169
451,173.00,184
452,101.00,112
453,200.00,200
454,154.00,165
455,200.00,200
456,200.00,200
457,104.00,115
458,37.00,48
459,200.00,200
460,67.00,78
461,200.00,200
462,100.00,111
463,50.00,61
464,200.00,200
465,64.00,75
466,6.00,17
467,70.00,81
468,20.00,31
469,84.00,95
470,179.00,190
471,59.00,70
472,200.00,200
473,53.00,64
474,200.00,200
475,200.00,200
476,159.00,170
477,200.00,200
478,200.00,200
479,84.00,95
480,107.00,118
481,165.00,176
482,200.00,200
483,200.00,200
484,36.00,47
485,16.00,27
486,90.00,101
487,22.00,33
488,200.00,200
489,77.00,88
490,75.00,86
491,10.00,21
492,150.00,161
493,65.00,76
494,99.00,110
495,200.00,200
496,200.00,200
497,200.00,200
498,200.00,200
499,200.00,200
500,200.00,200
501,25.00,36
502,200.00,200
503,200.00,200
504,200.00,200
505,200.00,200
506,127.00,138
507,86.00,97
508,116.00,127
509,70.00,81
510,189.00,200
511,200.00,200
512,40.00,51
513,200.00,200
514,200.00,200
