userId,movieId,title
1,1200,Aliens (1986)
1,1610,"Hunt for Red October, The (1990)"
1,541,Blade Runner (1982)
1,589,Terminator 2: Judgment Day (1991)
1,1036,Die Hard (1988)
2,4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)"
2,7153,"Lord of the Rings: The Return of the King, The (2003)"
2,2959,Fight Club (1999)
2,5952,"Lord of the Rings: The Two Towers, The (2002)"
2,116797,The Imitation Game (2014)
3,1214,Alien (1979)
3,1200,Aliens (1986)
3,1215,Army of Darkness (1993)
3,1997,"Exorcist, The (1973)"
3,480,Jurassic Park (1993)
4,858,"Godfather, The (1972)"
4,1208,Apocalypse Now (1979)
4,1247,"Graduate, The (1967)"
4,1206,"Clockwork Orange, A (1971)"
4,1089,Reservoir Dogs (1992)
5,356,Forrest Gump (1994)
5,377,Speed (1994)
5,539,Sleepless in Seattle (1993)
5,480,Jurassic Park (1993)
5,593,"Silence of the Lambs, The (1991)"
6,551,"Nightmare Before Christmas, The (1993)"
6,39,Clueless (1995)
6,529,Searching for Bobby Fischer (1993)
6,648,Mission: Impossible (1996)
6,300,Quiz Show (1994)
7,2571,"Matrix, The (1999)"
7,296,Pulp Fiction (1994)
7,318,"Shawshank Redemption, The (1994)"
7,3996,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"
7,6377,Finding Nemo (2003)
8,589,Terminator 2: Judgment Day (1991)
8,316,Stargate (1994)
8,165,Die Hard: With a Vengeance (1995)
8,434,Cliffhanger (1993)
8,588,Aladdin (1992)
9,2571,"Matrix, The (1999)"
9,1196,Star Wars: Episode V - The Empire Strikes Back (1980)
9,1291,Indiana Jones and the Last Crusade (1989)
9,260,Star Wars: Episode IV - A New Hope (1977)
9,1210,Star Wars: Episode VI - Return of the Jedi (1983)
10,78499,Toy Story 3 (2010)
10,69757,(500) Days of Summer (2009)
10,72641,"Blind Side, The  (2009)"
10,318,"Shawshank Redemption, The (1994)"
10,1721,Titanic (1997)
11,161,Crimson Tide (1995)
11,329,Star Trek: Generations (1994)
11,592,Batman (1989)
11,590,Dances with Wolves (1990)
11,47,Seven (a.k.a. Se7en) (1995)
12,356,Forrest Gump (1994)
12,1380,Grease (1978)
12,1777,"Wedding Singer, The (1998)"
12,916,Roman Holiday (1953)
12,597,Pretty Woman (1990)
13,1210,Star Wars: Episode VI - Return of the Jedi (1983)
13,4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)"
13,3623,Mission: Impossible II (2000)
13,260,Star Wars: Episode IV - A New Hope (1977)
13,2628,Star Wars: Episode I - The Phantom Menace (1999)
14,364,"Lion King, The (1994)"
14,457,"Fugitive, The (1993)"
14,587,Ghost (1990)
14,34,Babe (1995)
14,161,Crimson Tide (1995)
15,7153,"Lord of the Rings: The Return of the King, The (2003)"
15,1291,Indiana Jones and the Last Crusade (1989)
15,480,Jurassic Park (1993)
15,110,Braveheart (1995)
15,33794,Batman Begins (2005)
16,6016,City of God (Cidade de Deus) (2002)
16,2028,Saving Private Ryan (1998)
16,1221,"Godfather: Part II, The (1974)"
16,110,Braveheart (1995)
16,590,Dances with Wolves (1990)
17,608,Fargo (1996)
17,4878,Donnie Darko (2001)
17,3578,Gladiator (2000)
17,6377,Finding Nemo (2003)
17,1704,Good Will Hunting (1997)
18,4878,Donnie Darko (2001)
18,54001,Harry Potter and the Order of the Phoenix (2007)
18,48385,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)
18,2858,American Beauty (1999)
18,55820,No Country for Old Men (2007)
19,608,Fargo (1996)
19,1275,Highlander (1986)
19,50,"Usual Suspects, The (1995)"
19,3552,Caddyshack (1980)
19,2028,Saving Private Ryan (1998)
20,1,Toy Story (1995)
20,2571,"Matrix, The (1999)"
20,377,Speed (1994)
20,6377,Finding Nemo (2003)
20,480,Jurassic Park (1993)
