system:index,B2,B3,B4,B8,NDVI,cluster,.geo
0,632.0,874.0,983.0,1996.0,0.340047,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9146749859525,50.939552090932146]}"
1,586.0,850.0,1016.0,1996.0,0.32536522,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91458515442409,50.93964192246055]}"
2,586.0,850.0,1016.0,1996.0,0.32536522,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9146749859525,50.93964192246055]}"
3,571.0,822.0,872.0,1960.0,0.38418078,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91476481748091,50.93964192246055]}"
4,552.0,820.0,864.0,2084.0,0.41383988,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91485464900933,50.93964192246055]}"
5,620.0,878.0,1002.0,1924.0,0.31510594,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91449532289568,50.939731753988966]}"
6,610.0,849.0,1016.0,2048.0,0.3368146,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91458515442409,50.939731753988966]}"
7,610.0,849.0,1016.0,2048.0,0.3368146,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9146749859525,50.939731753988966]}"
8,562.0,821.0,924.0,1974.0,0.36231884,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91476481748091,50.939731753988966]}"
9,509.0,742.0,766.0,2492.0,0.5297729,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91485464900933,50.939731753988966]}"
10,509.0,742.0,766.0,2492.0,0.5297729,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91494448053773,50.939731753988966]}"
11,461.0,702.0,686.0,2484.0,0.56719244,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91503431206614,50.939731753988966]}"
12,668.0,916.0,1026.0,2046.0,0.33203125,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91449532289568,50.93982158551738]}"
13,640.0,900.0,998.0,2074.0,0.3502604,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91458515442409,50.93982158551738]}"
14,640.0,900.0,998.0,2074.0,0.3502604,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9146749859525,50.93982158551738]}"
15,511.0,786.0,836.0,2352.0,0.47553325,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91476481748091,50.93982158551738]}"
16,377.0,624.0,511.0,2958.0,0.70539063,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91485464900933,50.93982158551738]}"
17,377.0,624.0,511.0,2958.0,0.70539063,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91494448053773,50.93982158551738]}"
18,326.0,578.0,412.0,3112.0,0.7661748,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91503431206614,50.93982158551738]}"
19,326.0,578.0,412.0,3112.0,0.7661748,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91512414359455,50.93982158551738]}"
20,436.0,717.0,642.0,2460.0,0.5860735,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91521397512297,50.93982158551738]}"
21,674.0,916.0,1028.0,2046.0,0.3311646,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91440549136726,50.93991141704579]}"
22,682.0,920.0,1058.0,2092.0,0.32825395,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91449532289568,50.93991141704579]}"
23,598.0,847.0,922.0,2046.0,0.3787062,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91458515442409,50.93991141704579]}"
24,598.0,847.0,922.0,2046.0,0.3787062,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9146749859525,50.93991141704579]}"
25,452.0,698.0,690.0,2630.0,0.58433735,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91476481748091,50.93991141704579]}"
26,325.0,595.0,424.0,3084.0,0.7582668,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91485464900933,50.93991141704579]}"
27,325.0,595.0,424.0,3084.0,0.7582668,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91494448053773,50.93991141704579]}"
28,358.0,629.0,439.0,3090.0,0.7512043,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91503431206614,50.93991141704579]}"
