system:index,classification,.geo
0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9146749859525,50.939552090932146]}"
1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91458515442409,50.93964192246055]}"
2,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9146749859525,50.93964192246055]}"
3,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91476481748091,50.93964192246055]}"
4,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91485464900933,50.93964192246055]}"
5,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91449532289568,50.939731753988966]}"
6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91458515442409,50.939731753988966]}"
7,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9146749859525,50.939731753988966]}"
8,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91476481748091,50.939731753988966]}"
9,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91485464900933,50.939731753988966]}"
10,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91494448053773,50.939731753988966]}"
11,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91503431206614,50.939731753988966]}"
12,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91449532289568,50.93982158551738]}"
13,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91458515442409,50.93982158551738]}"
14,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9146749859525,50.93982158551738]}"
15,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91476481748091,50.93982158551738]}"
16,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91485464900933,50.93982158551738]}"
17,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91494448053773,50.93982158551738]}"
18,18,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91503431206614,50.93982158551738]}"
19,18,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91512414359455,50.93982158551738]}"
20,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91521397512297,50.93982158551738]}"
21,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91440549136726,50.93991141704579]}"
22,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91449532289568,50.93991141704579]}"
23,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91458515442409,50.93991141704579]}"
24,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9146749859525,50.93991141704579]}"
25,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91476481748091,50.93991141704579]}"
26,18,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91485464900933,50.93991141704579]}"
27,18,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91494448053773,50.93991141704579]}"
28,18,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91503431206614,50.93991141704579]}"
