system:index,classification,.geo
0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9146749859525,50.939552090932146]}"
1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91458515442409,50.93964192246055]}"
2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9146749859525,50.93964192246055]}"
3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91476481748091,50.93964192246055]}"
4,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91485464900933,50.93964192246055]}"
5,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91449532289568,50.939731753988966]}"
6,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91458515442409,50.939731753988966]}"
7,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9146749859525,50.939731753988966]}"
8,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91476481748091,50.939731753988966]}"
9,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91485464900933,50.939731753988966]}"
10,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91494448053773,50.939731753988966]}"
11,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91503431206614,50.939731753988966]}"
12,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91449532289568,50.93982158551738]}"
13,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91458515442409,50.93982158551738]}"
14,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9146749859525,50.93982158551738]}"
15,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91476481748091,50.93982158551738]}"
16,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91485464900933,50.93982158551738]}"
17,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91494448053773,50.93982158551738]}"
18,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91503431206614,50.93982158551738]}"
19,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91512414359455,50.93982158551738]}"
20,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91521397512297,50.93982158551738]}"
21,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91440549136726,50.93991141704579]}"
22,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91449532289568,50.93991141704579]}"
23,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91458515442409,50.93991141704579]}"
24,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9146749859525,50.93991141704579]}"
25,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91476481748091,50.93991141704579]}"
26,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91485464900933,50.93991141704579]}"
27,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91494448053773,50.93991141704579]}"
28,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91503431206614,50.93991141704579]}"
29,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91512414359455,50.93991141704579]}"
30,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91521397512297,50.93991141704579]}"
31,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91530380665138,50.93991141704579]}"
32,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9153936381798,50.93991141704579]}"
33,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91431565983885,50.940001248574205]}"
34,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91440549136726,50.940001248574205]}"
35,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91449532289568,50.940001248574205]}"
36,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91458515442409,50.940001248574205]}"
37,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9146749859525,50.940001248574205]}"
38,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91476481748091,50.940001248574205]}"
39,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91485464900933,50.940001248574205]}"
40,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91494448053773,50.940001248574205]}"
41,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91503431206614,50.940001248574205]}"
42,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91512414359455,50.940001248574205]}"
43,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91521397512297,50.940001248574205]}"
